Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Базовое_масло_3,0415.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.84
Базовое_масло_3,0415.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.501
Базовое_масло_3,0415.22,"Массовая доля кальция, ASTM D6481",% масс,0.00015
Базовое_масло_3,0415.22,"Массовая доля серы, ASTM D6481",% масс,0.00105
Базовое_масло_3,0415.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00019
Базовое_масло_3,0415.22,"Массовая доля цинка, ASTM D6481",% масс,0.00001
Базовое_масло_3,0415.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,0415.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,0415.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,0415.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-14
Детергент_1,0174.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,163.5
Детергент_1,0174.22,"Кислотное число, ГОСТ 11362",мг KOH/г,11.2
Детергент_1,0174.22,"Массовая доля кальция, ASTM D6481",% масс,11.2
Детергент_1,0174.22,"Щелочное число, ASTM D2896",мг KOH/г,405.8
Антипенная_присадка_3,б/н,"Массовая доля кальция, ASTM D6481",% масс,0
Антипенная_присадка_3,б/н,"Массовая доля серы, ASTM D6481",% масс,0
Антипенная_присадка_3,б/н,"Массовая доля фосфора, ASTM D6481",% масс,0
Антипенная_присадка_3,б/н,"Массовая доля цинка, ASTM D6481",% масс,0
Антиоксидант_5,32,,,
Антиоксидант_6,13799.21,,,
Загуститель_2,071.21,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,360
Базовое_масло_17,без номера,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13
Базовое_масло_17,без номера,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25
Базовое_масло_17,без номера,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50
Базовое_масло_17,без номера,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99
Базовое_масло_17,без номера,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200
Базовое_масло_17,без номера,"Испаряемость по NOACK, ASTM D5800",%,90
Базовое_масло_17,без номера,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,3.88
Базовое_масло_17,без номера,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.45
Базовое_масло_17,без номера,"Температура застывания, ГОСТ 20287, метод Б",°C,-73
Дисперсант_1,36524.20,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,245.86
Дисперсант_1,36524.20,"Щелочное число, ASTM D2896",мг KOH/г,"49,1"
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1220
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2317
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4827
Базовое_масло_2,01009.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10684
Базовое_масло_2,01009.22,"Индекс вязкости, ГОСТ 25371",–,95
Базовое_масло_2,01009.22,"Испаряемость по NOACK, ASTM D5800",%,14.7
Базовое_масло_2,01009.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,33.01
Базовое_масло_2,01009.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.39
Базовое_масло_2,01009.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003
Базовое_масло_2,01009.22,"Массовая доля серы, ASTM D6481",% масс,0.0236
Базовое_масло_2,01009.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00004
Базовое_масло_2,01009.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_2,01009.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,01009.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,01009.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,01009.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Соединение_молибдена_2,01762.22,,,
Антипенная_присадка_2,17422.22,,,
Противоизносная_присадка_10,02028.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.59
Противоизносная_присадка_10,02028.22,"Массовая доля фосфора, ASTM D6481",% масс,9.4
Противоизносная_присадка_10,02028.22,"Массовая доля цинка, ASTM D6481",% масс,11.1
Противоизносная_присадка_10,02028.22,"Щелочное число, ГОСТ 11362",мг KOH/г,16.08
Детергент_4,02623.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,15.6
Детергент_4,02623.22,"Массовая доля кальция, ASTM D6481",% масс,4.72
Детергент_4,02623.22,"Массовая доля серы, ASTM D6481",% масс,2.5
Детергент_4,02623.22,"Массовая доля фосфора, ASTM D6481",% масс,0.9
Детергент_4,02623.22,"Массовая доля цинка, ASTM D6481",% масс,0.88
Детергент_4,02623.22,"Щелочное число, ГОСТ 11362",мг KOH/г,151.3
Детергент_4,02623.22,"Щелочное число, ASTM D2896",мг KOH/г,149.6
Депрессорная_присадка_3,28446.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,110.2
Антипенная_присадка_1,0940.22,,,
Базовое_масло_3,01939.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,01939.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,01939.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,01939.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,317
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,497
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,876
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1515
Базовое_масло_3,01939.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3030
Базовое_масло_3,01939.22,"Индекс вязкости, ГОСТ 25371",–,127
Базовое_масло_3,01939.22,"Испаряемость по NOACK, ASTM D5800",%,13.2
Базовое_масло_3,01939.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,19.91
Базовое_масло_3,01939.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.33
Базовое_масло_3,01939.22,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_3,01939.22,"Массовая доля серы, ASTM D6481",% масс,0.0011
Базовое_масло_3,01939.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_3,01939.22,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Базовое_масло_3,01939.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,01939.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,01939.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,01939.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,99
Базовое_масло_16,25721.17,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200
Базовое_масло_16,25721.17,"Испаряемость по NOACK, ASTM D5800",%,90
Базовое_масло_16,25721.17,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.84
Базовое_масло_16,25721.17,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.17
Антиоксидант_6,нет номера у образца,,,
Загуститель_2,0773.22 (8.5%),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,373.32
Базовое_масло_2,02596.22,Деэм.вода | ASTM D1401,мл,38
Базовое_масло_2,02596.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_2,02596.22,Деэм.масло | ASTM D1401,мл,42
Базовое_масло_2,02596.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1220
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2250
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4642
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10272
Базовое_масло_2,02596.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,21000
Базовое_масло_2,02596.22,"Индекс вязкости, ГОСТ 25371",–,96
Базовое_масло_2,02596.22,"Испаряемость по NOACK, ASTM D5800",%,14
Базовое_масло_2,02596.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.61
Базовое_масло_2,02596.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.37
Базовое_масло_2,02596.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003
Базовое_масло_2,02596.22,"Массовая доля серы, ASTM D6481",% масс,0.028
Базовое_масло_2,02596.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00005
Базовое_масло_2,02596.22,"Массовая доля цинка, ASTM D6481",% масс,0.00001
Базовое_масло_2,02596.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,02596.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,02596.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,02596.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Детергент_6,02657.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,271.9
Детергент_6,02657.22,"Массовая доля кальция, ASTM D6481",% масс,10.59
Детергент_6,02657.22,"Массовая доля серы, ASTM D6481",% масс,0.326
Детергент_6,02657.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0006
Детергент_6,02657.22,"Массовая доля цинка, ASTM D6481",% масс,0.0005
Детергент_6,02657.22,"Щелочное число, ГОСТ 11362",мг KOH/г,272.8
Детергент_6,02657.22,"Щелочное число, ASTM D2896",мг KOH/г,269.4
Базовое_масло_3,02598.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,02598.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,02598.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,02598.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,02598.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,357
Базовое_масло_3,02598.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,561
Базовое_масло_3,02598.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,966
Базовое_масло_3,02598.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1671
Базовое_масло_3,02598.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3064
Базовое_масло_3,02598.22,"Индекс вязкости, ГОСТ 25371",–,129
Базовое_масло_3,02598.22,"Испаряемость по NOACK, ASTM D5800",%,14
Базовое_масло_3,02598.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.55
Базовое_масло_3,02598.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.57
Базовое_масло_3,02598.22,"Массовая доля кальция, ASTM D6481",% масс,0.00003
Базовое_масло_3,02598.22,"Массовая доля серы, ASTM D6481",% масс,0.00002
Базовое_масло_3,02598.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00007
Базовое_масло_3,02598.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_3,02598.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,02598.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,02598.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,02598.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-21
Базовое_масло_16,02959.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.82
Базовое_масло_16,02959.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.18
Базовое_масло_16,02959.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-40
Антиоксидант_4,01050.22,,,
Детергент_2,02957.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,14.62
Детергент_2,02957.22,"Массовая доля кальция, ASTM D6481",% масс,6.33
Детергент_2,02957.22,"Щелочное число, ASTM D2896",мг KOH/г,173.3
Антиоксидант_1,02717.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.65
Противоизносная_присадка_1,02958.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.19
Противоизносная_присадка_1,02958.22,"Массовая доля серы, ASTM D6481",% масс,16.41
Противоизносная_присадка_1,02958.22,"Массовая доля фосфора, ASTM D6481",% масс,8.939
Противоизносная_присадка_1,02958.22,"Массовая доля цинка, ASTM D6481",% масс,9.182
Детергент_6,03340.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,269.9
Детергент_6,03340.22,"Массовая доля кальция, ASTM D6481",% масс,10.14
Детергент_6,03340.22,"Щелочное число, ASTM D2896",мг KOH/г,276.1
Противоизносная_присадка_20,02976.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.99
Противоизносная_присадка_20,02976.22,"Массовая доля кальция, ASTM D6481",% масс,0.001
Противоизносная_присадка_20,02976.22,"Массовая доля серы, ASTM D6481",% масс,15.97
Противоизносная_присадка_20,02976.22,"Массовая доля фосфора, ASTM D6481",% масс,8.719
Противоизносная_присадка_20,02976.22,"Массовая доля цинка, ASTM D6481",% масс,9.179
Базовое_масло_3,0754/23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,0754/23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,0754/23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,0754/23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,0754/23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,335
Базовое_масло_3,0754/23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,519
Базовое_масло_3,0754/23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,862
Базовое_масло_3,0754/23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1466
Базовое_масло_3,0754/23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2743
Базовое_масло_3,0754/23,"Индекс вязкости, ГОСТ 25371",–,127
Базовое_масло_3,0754/23,"Испаряемость по NOACK, ASTM D5800",%,14.2
Базовое_масло_3,0754/23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.02
Базовое_масло_3,0754/23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.34
Базовое_масло_3,0754/23,"Массовая доля кальция, ASTM D6481",% масс,0.0012
Базовое_масло_3,0754/23,"Массовая доля серы, ASTM D6481",% масс,0.0002
Базовое_масло_3,0754/23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002
Базовое_масло_3,0754/23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Базовое_масло_3,0754/23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,0754/23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,0754/23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,0754/23,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Детергент_1,из 328 р-р 01295.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,125
Детергент_1,из 328 р-р 01295.23,"Массовая доля кальция, ASTM D6481",% масс,16.29
Детергент_1,из 328 р-р 01295.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0006
Детергент_1,из 328 р-р 01295.23,"Массовая доля цинка, ASTM D6481",% масс,0.0007
Детергент_1,из 328 р-р 01295.23,"Щелочное число, ASTM D2896",мг KOH/г,407
Антиоксидант_10,4793.19,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,21.67
Антиоксидант_10,4793.19,"Массовая доля кальция, ASTM D6481",% масс,0.253
Антиоксидант_10,4793.19,"Массовая доля сульфатной золы, ГОСТ 12417",%,8.64
Антиоксидант_10,4793.19,"Массовая доля фосфора, ASTM D6481",% масс,0.432
Антиоксидант_10,4793.19,"Массовая доля цинка, ASTM D6481",% масс,0.0278
Антиоксидант_10,4793.19,"Щелочное число, ГОСТ 11362",мг KOH/г,5.26
Антиоксидант_10,4793.19,"Щелочное число, ASTM D2896",мг KOH/г,8.53
Антиоксидант_1,01028.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.8
Антиоксидант_1,01028.23,"Щелочное число, ГОСТ 11362",мг KOH/г,0
Антиоксидант_1,01028.23,"Щелочное число, ASTM D2896",мг KOH/г,0
Дисперсант_1,03067.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,248.7
Дисперсант_1,03067.22,"Массовая доля кальция, ASTM D6481",% масс,0.002
Дисперсант_1,03067.22,"Массовая доля фосфора, ASTM D6481",% масс,0.002
Дисперсант_1,03067.22,"Массовая доля цинка, ASTM D6481",% масс,0.003
Дисперсант_1,03067.22,"Щелочное число, ASTM D2896",мг KOH/г,40.9
Базовое_масло_3,01487.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,01487.23,Деэм.время | ASTM D1401,мин,10
Базовое_масло_3,01487.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,01487.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,01487.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,388
Базовое_масло_3,01487.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,591
Базовое_масло_3,01487.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,966
Базовое_масло_3,01487.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1647
Базовое_масло_3,01487.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2993
Базовое_масло_3,01487.23,"Индекс вязкости, ГОСТ 25371",–,124
Базовое_масло_3,01487.23,"Испаряемость по NOACK, ASTM D5800",%,9.1
Базовое_масло_3,01487.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.19
Базовое_масло_3,01487.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.46
Базовое_масло_3,01487.23,"Массовая доля кальция, ASTM D6481",% масс,0.0003
Базовое_масло_3,01487.23,"Массовая доля серы, ASTM D6481",% масс,0.001
Базовое_масло_3,01487.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002
Базовое_масло_3,01487.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Базовое_масло_3,01487.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,01487.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,01487.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,01487.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-25
Соединение_молибдена_5,COMP-2023-0002-M,,,
Соединение_молибдена_6,01027.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,26.69
Соединение_молибдена_1,COMP-2023-0003-M,,,
Депрессорная_присадка_1,DPM 189,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,341.1
Антипенная_присадка_1,из ЦП 19.09.23,,,
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100
Базовое_масло_14,из ЦП 19.09.23г,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,200
Базовое_масло_14,из ЦП 19.09.23г,"Испаряемость по NOACK, ASTM D5800",%,90
Базовое_масло_14,из ЦП 19.09.23г,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2
Базовое_масло_14,из ЦП 19.09.23г,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1
Базовое_масло_1,02593.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2303
Базовое_масло_1,02593.23,"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_1,02593.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.36
Базовое_масло_1,02593.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.48
Базовое_масло_1,02593.23,"Массовая доля серы, ASTM D6481",% масс,0.0001
Базовое_масло_1,02593.23,Цвет Сейболт | -,ед.,30
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,498
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,766
Базовое_масло_12,02907.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,1259
Базовое_масло_12,02907.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,3.81
Базовое_масло_12,02907.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-71
Соединение_молибдена_4,для образца 160л,,,
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,149
Базовое_масло_15,02602.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,286
Базовое_масло_15,02602.23,"Индекс вязкости, ГОСТ 25371",–,98
Базовое_масло_15,02602.23,"Кинематическая вязкость, при -30⁰С | ASTM D445",мм²/с,248
Базовое_масло_15,02602.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,7.001
Базовое_масло_15,02602.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,2.05
Базовое_масло_15,02602.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-58
Детергент_2,01297.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,14.47
Детергент_2,01297.23,"Массовая доля кальция, ASTM D6481",% масс,6.48
Детергент_2,01297.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0004
Детергент_2,01297.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Детергент_2,01297.23,"Щелочное число, ASTM D2896",мг KOH/г,171
Противоизносная_присадка_1,01296.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.16
Противоизносная_присадка_1,01296.23,"Массовая доля кальция, ASTM D6481",% масс,0.02
Противоизносная_присадка_1,01296.23,"Массовая доля фосфора, ASTM D6481",% масс,8.4
Противоизносная_присадка_1,01296.23,"Массовая доля цинка, ASTM D6481",% масс,9.1
Антиоксидант_3,01198.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.04
Антиоксидант_3,01198.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Антиоксидант_3,01198.23,"Массовая доля серы, ASTM D6481",% масс,0.0002
Антиоксидант_3,01198.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0002
Антиоксидант_3,01198.23,"Массовая доля цинка, ASTM D6481",% масс,0.0002
Антиоксидант_3,01198.23,"Щелочное число, ASTM D2896",мг KOH/г,176.3
Загуститель_3,"01658.23 8,6% в 2Гр.","Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,446
Депрессорная_присадка_1,017.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,362.35
Базовое_масло_3,03601.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,410
Базовое_масло_3,03601.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,620
Базовое_масло_3,03601.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,984
Базовое_масло_3,03601.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1668
Базовое_масло_3,03601.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3021
Базовое_масло_3,03601.23,"Индекс вязкости, ГОСТ 25371",–,127
Базовое_масло_3,03601.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.25
Базовое_масло_3,03601.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.5
Базовое_масло_3,03601.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-21
Базовое_масло_1,03004.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_1,03004.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_1,03004.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_1,03004.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_1,03004.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,518
Базовое_масло_1,03004.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,800
Базовое_масло_1,03004.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1321
Базовое_масло_1,03004.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2309
Базовое_масло_1,03004.23,"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_1,03004.23,"Испаряемость по NOACK, ASTM D5800",%,14
Базовое_масло_1,03004.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.26
Базовое_масло_1,03004.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.46
Базовое_масло_1,03004.23,"Массовая доля кальция, ASTM D6481",% масс,0.0003
