scenario_id,Компонент,Наименование партии,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория"
train_3,Депрессорная_присадка_1,0800.24,26.931,160,168,-20.3,36.33,0,1
train_3,Детергент_1,03203.23,38.465,160,168,-20.3,36.33,0,1
train_3,Детергент_2,01297.23,80.120,160,168,-20.3,36.33,0,1
train_3,Дисперсант_1,03067.22,33.644,160,168,-20.3,36.33,0,1
train_3,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-20.3,36.33,0,1
train_3,Противоизносная_присадка_1,01296.23,26.586,160,168,-20.3,36.33,0,1
train_4,Антиоксидант_1,01028.23,17.074,160,168,-20.6,37.95,0,1
train_4,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-20.6,37.95,0,1
train_4,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_1,0766.24,53.037,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_1,0766.24,14.811,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_2,0407.24,16.319,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_3,0886.24,11.036,160,168,-20.6,37.95,0,1
train_4,Базовое_масло_5,0767.24,70.369,160,168,-20.6,37.95,0,1
train_4,Депрессорная_присадка_1,0800.24,26.931,160,168,-20.6,37.95,0,1
train_4,Детергент_1,03203.23,38.465,160,168,-20.6,37.95,0,1
train_4,Детергент_2,01297.23,80.120,160,168,-20.6,37.95,0,1
train_4,Дисперсант_1,03067.22,33.644,160,168,-20.6,37.95,0,1
train_4,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-20.6,37.95,0,1
train_4,Противоизносная_присадка_17,01077.24 Arkema,38.465,160,168,-20.6,37.95,0,1
train_5,Антиоксидант_1,01028.23,17.074,160,168,-18.9,34.9,0,1
train_5,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-18.9,34.9,0,1
train_5,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_1,0766.24,53.037,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_1,0766.24,14.811,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_2,0407.24,81.129,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_3,0886.24,11.036,160,168,-18.9,34.9,0,1
train_5,Базовое_масло_5,0767.24,70.369,160,168,-18.9,34.9,0,1
train_5,Депрессорная_присадка_1,0800.24,26.931,160,168,-18.9,34.9,0,1
train_5,Детергент_1,03203.23,38.465,160,168,-18.9,34.9,0,1
train_5,Детергент_2,01297.23,80.120,160,168,-18.9,34.9,0,1
train_5,Дисперсант_1,03067.22,33.644,160,168,-18.9,34.9,0,1
train_5,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-18.9,34.9,0,1
train_5,Противоизносная_присадка_17,01078.24 Celanese,51.239,160,168,-18.9,34.9,0,1
train_6,Антиоксидант_1,01028.23,17.074,160,168,-17.83,32.12,0,1
train_6,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-17.83,32.12,0,1
train_6,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_1,0766.24,53.037,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_1,0766.24,14.811,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_2,0407.24,78.195,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_3,0886.24,11.036,160,168,-17.83,32.12,0,1
train_6,Базовое_масло_5,0767.24,70.369,160,168,-17.83,32.12,0,1
train_6,Депрессорная_присадка_1,0800.24,26.931,160,168,-17.83,32.12,0,1
train_6,Детергент_1,03203.23,38.465,160,168,-17.83,32.12,0,1
train_6,Детергент_2,01297.23,80.120,160,168,-17.83,32.12,0,1
train_6,Дисперсант_1,03067.22,33.644,160,168,-17.83,32.12,0,1
train_6,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-17.83,32.12,0,1
train_6,Противоизносная_присадка_27,01363.24,90.699,160,168,-17.83,32.12,0,1
train_7,Антиоксидант_1,01028.23,17.074,160,168,-18.1,36.52,0,1
train_7,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-18.1,36.52,0,1
train_7,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_1,0766.24,53.037,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_1,0766.24,14.811,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_2,0407.24,63.363,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_3,0886.24,11.036,160,168,-18.1,36.52,0,1
train_7,Базовое_масло_5,0767.24,70.369,160,168,-18.1,36.52,0,1
train_7,Депрессорная_присадка_1,0800.24,26.931,160,168,-18.1,36.52,0,1
train_7,Детергент_1,03203.23,38.465,160,168,-18.1,36.52,0,1
train_7,Детергент_2,01297.23,80.120,160,168,-18.1,36.52,0,1
train_7,Дисперсант_1,03067.22,33.644,160,168,-18.1,36.52,0,1
train_7,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-18.1,36.52,0,1
train_7,Противоизносная_присадка_18,01872.24,29.196,160,168,-18.1,36.52,0,1
train_8,Антиоксидант_1,01028.23,17.074,160,168,-19.12,34.19,0,1
train_8,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-19.12,34.19,0,1
train_8,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_1,0766.24,53.037,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_1,0766.24,14.811,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_2,0407.24,78.195,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_3,0886.24,11.036,160,168,-19.12,34.19,0,1
train_8,Базовое_масло_5,0767.24,70.369,160,168,-19.12,34.19,0,1
train_8,Депрессорная_присадка_1,0800.24,26.931,160,168,-19.12,34.19,0,1
train_8,Детергент_1,03203.23,38.465,160,168,-19.12,34.19,0,1
train_8,Детергент_2,01297.23,80.120,160,168,-19.12,34.19,0,1
train_8,Дисперсант_1,03067.22,33.644,160,168,-19.12,34.19,0,1
train_8,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-19.12,34.19,0,1
train_8,Противоизносная_присадка_26,COMP-2024-0017-M,90.699,160,168,-19.12,34.19,0,1
train_9,Антиоксидант_1,01028.23,17.074,160,168,-19.54,33.87,0,1
train_9,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-19.54,33.87,0,1
train_9,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_1,0766.24,53.037,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_1,0766.24,14.811,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_2,0407.24,88.496,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_3,0886.24,11.036,160,168,-19.54,33.87,0,1
train_9,Базовое_масло_5,0767.24,70.369,160,168,-19.54,33.87,0,1
train_9,Депрессорная_присадка_1,0800.24,26.931,160,168,-19.54,33.87,0,1
train_9,Детергент_1,03203.23,38.465,160,168,-19.54,33.87,0,1
train_9,Детергент_2,01297.23,80.120,160,168,-19.54,33.87,0,1
train_9,Дисперсант_1,03067.22,33.644,160,168,-19.54,33.87,0,1
train_9,Загуститель_1,01076.24 10% в HVI-4,93.926,160,168,-19.54,33.87,0,1
train_9,Противоизносная_присадка_25,COMP-2024-0018-M,26.586,160,168,-19.54,33.87,0,1
train_10,Антиоксидант_1,01028.23,17.074,160,168,-23.78,85.04,0,1
train_10,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-23.78,85.04,0,1
train_10,Антипенная_присадка_1,12 от 13.05.2024,3.991,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_1,02375.24,23.138,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_1,02375.24,30.454,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_14,01500.24,84.281,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_2,02425.24,88.496,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_3,02502.24,11.036,160,168,-23.78,85.04,0,1
train_10,Базовое_масло_5,02896.24,70.369,160,168,-23.78,85.04,0,1
train_10,Детергент_1,03052.24,38.465,160,168,-23.78,85.04,0,1
train_10,Детергент_2,01297.23,80.120,160,168,-23.78,85.04,0,1
train_10,Дисперсант_1,03067.22,33.644,160,168,-23.78,85.04,0,1
train_10,Загуститель_1,02344.24 10.3% в 2гр,93.926,160,168,-23.78,85.04,0,1
train_10,Противоизносная_присадка_29,03073.24,11.027,160,168,-23.78,85.04,0,1
train_11,Антиоксидант_4,01050.22,95.918,160,168,-15.32,6.53,0,1
train_11,Базовое_масло_1,03197.24,43.340,160,168,-15.32,6.53,0,1
train_11,Базовое_масло_1,03197.24,43.229,160,168,-15.32,6.53,0,1
train_11,Базовое_масло_5,03159.24,22.895,160,168,-15.32,6.53,0,1
train_11,Детергент_1,03052.24,8.080,160,168,-15.32,6.53,0,1
train_11,Загуститель_1,02344.24 10.3% в 2гр,2.675,160,168,-15.32,6.53,0,1
train_11,Противоизносная_присадка_2,от 28.12.24,31.092,160,168,-15.32,6.53,0,1
train_12,Антиоксидант_4,01050.22,95.918,160,168,-31.67,83.37,0,1
train_12,Базовое_масло_1,03197.24,43.340,160,168,-31.67,83.37,0,1
train_12,Базовое_масло_1,03197.24,43.229,160,168,-31.67,83.37,0,1
train_12,Базовое_масло_5,03159.24,22.895,160,168,-31.67,83.37,0,1
train_12,Детергент_1,03052.24,8.080,160,168,-31.67,83.37,0,1
train_12,Загуститель_1,02344.24 10.3% в 2гр,2.675,160,168,-31.67,83.37,0,1
train_12,Противоизносная_присадка_22,скай кемикалс,31.092,160,168,-31.67,83.37,0,1
train_13,Антиоксидант_4,01050.22,95.918,160,168,-31.73,8.14,0,1
train_13,Базовое_масло_1,03197.24,43.340,160,168,-31.73,8.14,0,1
train_13,Базовое_масло_1,03197.24,43.229,160,168,-31.73,8.14,0,1
train_13,Базовое_масло_5,03159.24,22.895,160,168,-31.73,8.14,0,1
train_13,Детергент_1,03052.24,8.080,160,168,-31.73,8.14,0,1
train_13,Загуститель_1,02344.24 10.3% в 2гр,2.675,160,168,-31.73,8.14,0,1
train_13,Противоизносная_присадка_23,048,31.092,160,168,-31.73,8.14,0,1
train_14,Антиоксидант_7,п.EQ2023082507,26.931,160,168,-30.7,76.38,0,1
train_14,Антиоксидант_8,COMP-2024-0009-M,17.074,160,168,-30.7,76.38,0,1
train_14,Антипенная_присадка_1,12 от 13.05.2024,3.991,160,168,-30.7,76.38,0,1
train_14,Базовое_масло_1,0318.25,81.459,160,168,-30.7,76.38,0,1
train_14,Базовое_масло_1,0318.25,31.355,160,168,-30.7,76.38,0,1
train_14,Базовое_масло_14,01500.24,91.635,160,168,-30.7,76.38,0,1
train_14,Базовое_масло_5,0312.25,91.506,160,168,-30.7,76.38,0,1
train_14,Депрессорная_присадка_2,"п, 3",26.931,160,168,-30.7,76.38,0,1
train_14,Детергент_1,0269.25,92.177,160,168,-30.7,76.38,0,1
train_14,Детергент_3,48670.24,0.295,160,168,-30.7,76.38,0,1
train_14,Детергент_7,03229.24,56.357,160,168,-30.7,76.38,0,1
train_14,Дисперсант_3,01030.23,0.422,160,168,-30.7,76.38,0,1
train_14,Дисперсант_6,077.25,31.760,160,168,-30.7,76.38,0,1
train_14,Загуститель_1,"0306.25 9,8% 2гр",3.522,160,168,-30.7,76.38,0,1
train_14,Противоизносная_присадка_2,01026.23,93.926,160,168,-30.7,76.38,0,1
train_15,Антиоксидант_13,02993.24,17.074,160,168,-29.38,60.24,0,1
train_15,Антиоксидант_7,п.EQ2023082507,26.931,160,168,-29.38,60.24,0,1
train_15,Антипенная_присадка_1,12 от 13.05.2024,3.991,160,168,-29.38,60.24,0,1
train_15,Базовое_масло_1,0318.25,81.459,160,168,-29.38,60.24,0,1
train_15,Базовое_масло_1,0318.25,31.355,160,168,-29.38,60.24,0,1
train_15,Базовое_масло_14,01500.24,91.635,160,168,-29.38,60.24,0,1
train_15,Базовое_масло_5,0312.25,91.506,160,168,-29.38,60.24,0,1
train_15,Депрессорная_присадка_2,"п, 3",26.931,160,168,-29.38,60.24,0,1
train_15,Детергент_1,0269.25,92.177,160,168,-29.38,60.24,0,1
train_15,Детергент_3,48670.24,0.295,160,168,-29.38,60.24,0,1
train_15,Детергент_7,03229.24,56.357,160,168,-29.38,60.24,0,1
train_15,Дисперсант_3,01030.23,0.422,160,168,-29.38,60.24,0,1
train_15,Дисперсант_6,077.25,31.760,160,168,-29.38,60.24,0,1
train_15,Загуститель_1,"0306.25 9,8% 2гр",3.522,160,168,-29.38,60.24,0,1
train_15,Противоизносная_присадка_2,01026.23,93.926,160,168,-29.38,60.24,0,1
train_16,Антиоксидант_13,02993.24,25.872,160,168,-31.38,68.26,0,1
train_16,Антиоксидант_7,п.EQ2023082507,26.931,160,168,-31.38,68.26,0,1
train_16,Антипенная_присадка_1,12 от 13.05.2024,3.991,160,168,-31.38,68.26,0,1
train_16,Базовое_масло_1,0318.25,81.459,160,168,-31.38,68.26,0,1
train_16,Базовое_масло_1,0318.25,48.557,160,168,-31.38,68.26,0,1
train_16,Базовое_масло_14,01500.24,91.635,160,168,-31.38,68.26,0,1
train_16,Базовое_масло_5,0312.25,91.506,160,168,-31.38,68.26,0,1
train_16,Депрессорная_присадка_2,"п, 3",26.931,160,168,-31.38,68.26,0,1
train_16,Детергент_1,0269.25,92.177,160,168,-31.38,68.26,0,1
train_16,Детергент_3,48670.24,0.295,160,168,-31.38,68.26,0,1
train_16,Детергент_7,03229.24,56.357,160,168,-31.38,68.26,0,1
train_16,Дисперсант_3,01030.23,0.422,160,168,-31.38,68.26,0,1
train_16,Дисперсант_6,077.25,31.760,160,168,-31.38,68.26,0,1
train_16,Загуститель_1,"0306.25 9,8% 2гр",3.522,160,168,-31.38,68.26,0,1
train_16,Противоизносная_присадка_2,01026.23,93.926,160,168,-31.38,68.26,0,1
train_17,Антиоксидант_7,п.EQ2023082507,95.918,160,168,-35.6,76.37,0,1
train_17,Базовое_масло_1,01595.25,43.340,160,168,-35.6,76.37,0,1
train_17,Базовое_масло_1,01595.25,43.229,160,168,-35.6,76.37,0,1
train_17,Базовое_масло_5,01624.25,22.895,160,168,-35.6,76.37,0,1
train_17,Детергент_1,01558.25,8.080,160,168,-35.6,76.37,0,1
train_17,Загуститель_1,01609.25,2.675,160,168,-35.6,76.37,0,1
train_17,Противоизносная_присадка_8,Квадрат плюс ДТФ-22,31.092,160,168,-35.6,76.37,0,1
train_18,Антиоксидант_11,2023101602 (НИЦ),17.074,160,168,-18.1,39.15,0,1
train_18,Антиоксидант_7,п.EQ2023082507,14.828,160,168,-18.1,39.15,0,1
train_18,Антипенная_присадка_1,от 22.04.2025,3.991,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_1,01987.25,23.138,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_1,01987.25,85.012,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_2,01993.25,88.496,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_3,0716.25,11.036,160,168,-18.1,39.15,0,1
train_18,Базовое_масло_5,01992.25,70.369,160,168,-18.1,39.15,0,1
train_18,Депрессорная_присадка_1,0862.24,26.931,160,168,-18.1,39.15,0,1
train_18,Детергент_1,01777.25,38.465,160,168,-18.1,39.15,0,1
train_18,Детергент_9,01020.25,80.120,160,168,-18.1,39.15,0,1
train_18,Дисперсант_5,п.2022053003/ЦП,33.644,160,168,-18.1,39.15,0,1
train_18,Загуститель_1,01939.25,93.926,160,168,-18.1,39.15,0,1
train_18,Противоизносная_присадка_11,0242.25,26.586,160,168,-18.1,39.15,0,1
train_19,Антиоксидант_11,2023101602 (НИЦ),17.074,160,168,-17.2,39.27,0,1
train_19,Антиоксидант_7,п.EQ2023082507,14.828,160,168,-17.2,39.27,0,1
train_19,Антипенная_присадка_1,от 22.04.2025,3.991,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_1,01987.25,23.138,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_1,01987.25,85.012,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_2,01993.25,30.305,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_3,0716.25,11.036,160,168,-17.2,39.27,0,1
train_19,Базовое_масло_5,01992.25,70.369,160,168,-17.2,39.27,0,1
train_19,Депрессорная_присадка_1,0862.24,26.931,160,168,-17.2,39.27,0,1
train_19,Детергент_1,01777.25,38.465,160,168,-17.2,39.27,0,1
train_19,Детергент_9,01020.25,80.120,160,168,-17.2,39.27,0,1
train_19,Дисперсант_5,п.2022053003/ЦП,33.644,160,168,-17.2,39.27,0,1
train_19,Загуститель_1,01939.25,93.926,160,168,-17.2,39.27,0,1
train_19,Противоизносная_присадка_18,02125.25 (№1),31.092,160,168,-17.2,39.27,0,1
train_20,Антиоксидант_5,32,56.357,160,168,-17.51,97.66,0,1
train_20,Антиоксидант_6,13799.21,26.931,160,168,-17.51,97.66,0,1
train_20,Антипенная_присадка_3,б/н,44.499,160,168,-17.51,97.66,0,1
train_20,Базовое_масло_17,без номера,64.805,160,168,-17.51,97.66,0,1
train_20,Базовое_масло_2,01009.22,45.461,160,168,-17.51,97.66,0,1
train_20,Базовое_масло_3,0415.22,81.407,160,168,-17.51,97.66,0,1
train_20,Депрессорная_присадка_3,0246.22,56.357,160,168,-17.51,97.66,0,1
train_20,Детергент_1,0174.22,76.331,160,168,-17.51,97.66,0,1
train_20,Детергент_4,0338.22,72.282,160,168,-17.51,97.66,0,1
train_20,Дисперсант_1,36524.20,2.109,160,168,-17.51,97.66,0,1
train_20,Загуститель_2,071.21,3.053,160,168,-17.51,97.66,0,1
train_20,Противоизносная_присадка_8,0186.22,90.699,160,168,-17.51,97.66,0,1
train_21,Антиоксидант_5,32,56.357,160,168,-18.94,66.79,0,1
train_21,Антиоксидант_6,13799.21,26.931,160,168,-18.94,66.79,0,1
train_21,Антипенная_присадка_2,17422.22,95.918,160,168,-18.94,66.79,0,1
train_21,Базовое_масло_2,01009.22,45.461,160,168,-18.94,66.79,0,1
train_21,Базовое_масло_3,0415.22,12.327,160,168,-18.94,66.79,0,1
train_21,Депрессорная_присадка_3,0246.22,56.357,160,168,-18.94,66.79,0,1
train_21,Детергент_1,0174.22,21.197,160,168,-18.94,66.79,0,1
train_21,Детергент_4,0338.22,31.092,160,168,-18.94,66.79,0,1
train_21,Дисперсант_1,36524.20,2.109,160,168,-18.94,66.79,0,1
train_21,Загуститель_2,071.21,3.053,160,168,-18.94,66.79,0,1
train_21,Противоизносная_присадка_8,0186.22,90.699,160,168,-18.94,66.79,0,1
train_21,Соединение_молибдена_2,01762.22,95.918,160,168,-18.94,66.79,0,1
train_22,Антиоксидант_5,32,14.828,160,168,-9.85,70.21,0,1
train_22,Антиоксидант_6,13799.21,17.074,160,168,-9.85,70.21,0,1
train_22,Базовое_масло_10,02597.22,11.036,160,168,-9.85,70.21,0,1
train_22,Базовое_масло_2,02596.22,93.923,160,168,-9.85,70.21,0,1
train_22,Базовое_масло_2,02596.22,21.532,160,168,-9.85,70.21,0,1
train_22,Базовое_масло_7,094.22 (D-2022-0022),89.598,160,168,-9.85,70.21,0,1
train_22,Депрессорная_присадка_2,п.12,26.931,160,168,-9.85,70.21,0,1
train_22,Детергент_1,0174.22,38.465,160,168,-9.85,70.21,0,1
train_22,Детергент_17,03133.22,80.120,160,168,-9.85,70.21,0,1
train_22,Дисперсант_1,36524.20,33.644,160,168,-9.85,70.21,0,1
train_22,Загуститель_1,02560.22 (9%вSN-150),25.852,160,168,-9.85,70.21,0,1
train_22,Противоизносная_присадка_10,02028.22,92.118,160,168,-9.85,70.21,0,1
train_23,Антиоксидант_1,02717.22,17.074,160,168,-9.94,65.94,0,1
train_23,Антиоксидант_4,01050.22,14.828,160,168,-9.94,65.94,0,1
train_23,Базовое_масло_10,02597.22,11.036,160,168,-9.94,65.94,0,1
train_23,Базовое_масло_2,02596.22,0.277,160,168,-9.94,65.94,0,1
train_23,Базовое_масло_2,02596.22,2.886,160,168,-9.94,65.94,0,1
train_23,Базовое_масло_7,02595.22,89.598,160,168,-9.94,65.94,0,1
train_23,Депрессорная_присадка_2,п.12,26.931,160,168,-9.94,65.94,0,1
train_23,Детергент_1,0174.22,38.465,160,168,-9.94,65.94,0,1
train_23,Детергент_21,03008.22,50.273,160,168,-9.94,65.94,0,1
train_23,Дисперсант_1,36524.20,33.644,160,168,-9.94,65.94,0,1
train_23,Загуститель_1,02560.22 (9%вSN-150),25.852,160,168,-9.94,65.94,0,1
train_23,Противоизносная_присадка_10,02028.22,92.118,160,168,-9.94,65.94,0,1
train_24,Антиоксидант_5,32,14.828,160,168,-19.12,64.96,0,1
train_24,Антиоксидант_6,13799.21,17.074,160,168,-19.12,64.96,0,1
train_24,Базовое_масло_10,02597.22,11.036,160,168,-19.12,64.96,0,1
train_24,Базовое_масло_2,02596.22,93.923,160,168,-19.12,64.96,0,1
train_24,Базовое_масло_2,02596.22,99.393,160,168,-19.12,64.96,0,1
train_24,Базовое_масло_7,094.22 (D-2022-0022),89.598,160,168,-19.12,64.96,0,1
train_24,Депрессорная_присадка_2,п.12,26.931,160,168,-19.12,64.96,0,1
train_24,Детергент_1,0174.22,38.465,160,168,-19.12,64.96,0,1
train_24,Детергент_19,03134.22,54.612,160,168,-19.12,64.96,0,1
train_24,Дисперсант_1,03067.22,33.644,160,168,-19.12,64.96,0,1
train_24,Загуститель_1,02560.22 (9%вSN-150),25.852,160,168,-19.12,64.96,0,1
train_24,Противоизносная_присадка_10,02028.22,92.118,160,168,-19.12,64.96,0,1
train_25,Антиоксидант_5,32,14.828,160,168,-11.39,24.69,0,1
train_25,Антиоксидант_6,13799.21,17.074,160,168,-11.39,24.69,0,1
train_25,Базовое_масло_10,02597.22,11.036,160,168,-11.39,24.69,0,1
train_25,Базовое_масло_2,02596.22,93.923,160,168,-11.39,24.69,0,1
train_25,Базовое_масло_2,02596.22,9.316,160,168,-11.39,24.69,0,1
train_25,Базовое_масло_7,094.22 (D-2022-0022),89.598,160,168,-11.39,24.69,0,1
train_25,Депрессорная_присадка_2,п.12,26.931,160,168,-11.39,24.69,0,1
train_25,Детергент_1,0174.22,38.465,160,168,-11.39,24.69,0,1
train_25,Детергент_22,03009.22,26.931,160,168,-11.39,24.69,0,1
train_25,Дисперсант_1,03067.22,33.644,160,168,-11.39,24.69,0,1
train_25,Загуститель_1,02560.22 (9%вSN-150),25.852,160,168,-11.39,24.69,0,1
train_25,Противоизносная_присадка_10,02028.22,92.118,160,168,-11.39,24.69,0,1
train_26,Антиоксидант_1,02717.22,17.074,160,168,30.81,98.18,0,1
train_26,Антиоксидант_4,01050.22,14.828,160,168,30.81,98.18,0,1
train_26,Базовое_масло_10,02597.22,11.036,160,168,30.81,98.18,0,1
train_26,Базовое_масло_2,01940.22,93.923,160,168,30.81,98.18,0,1
train_26,Базовое_масло_2,02596.22,87.965,160,168,30.81,98.18,0,1
train_26,Базовое_масло_7,02595.22,89.598,160,168,30.81,98.18,0,1
train_26,Депрессорная_присадка_2,п.12,26.931,160,168,30.81,98.18,0,1
train_26,Детергент_1,0174.22,38.465,160,168,30.81,98.18,0,1
train_26,Детергент_2,02957.22,80.120,160,168,30.81,98.18,0,1
